NO_OF_FRAMES	5975
NO_OF_CAMERAS	9
NO_OF_BODIES	1
FREQUENCY	50
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-11-15, 18:29:58	28922.40665050
DATA_INCLUDED	6D
BODY_NAMES	New Body #1
New Body #1 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
1031.16371	-613.13521	378.38238	0.02762	0.00452	90.00869	0.37557	-0.00015	1.00000	0.00048	-1.00000	-0.00015	0.00008	0.00008	-0.00048	1.00000	
1029.99086	-613.45478	378.02998	0.03287	0.01856	89.98233	0.39448	0.00031	1.00000	0.00057	-1.00000	0.00031	0.00032	0.00032	-0.00057	1.00000	
1030.40378	-613.21107	377.69590	0.04408	0.01582	89.99221	0.32542	0.00014	1.00000	0.00077	-1.00000	0.00014	0.00028	0.00028	-0.00077	1.00000	
1030.59522	-613.34257	378.33122	0.02878	0.00706	89.99515	0.32693	0.00008	1.00000	0.00050	-1.00000	0.00008	0.00012	0.00012	-0.00050	1.00000	
1030.12328	-613.49777	378.43771	0.02921	0.00456	89.98383	0.32221	0.00028	1.00000	0.00051	-1.00000	0.00028	0.00008	0.00008	-0.00051	1.00000	
1030.40033	-613.26406	377.86540	0.04294	0.00207	89.98981	0.34328	0.00018	1.00000	0.00075	-1.00000	0.00018	0.00004	0.00004	-0.00075	1.00000	
1029.60247	-613.73647	378.65995	0.02113	0.00681	89.97062	0.33772	0.00051	1.00000	0.00037	-1.00000	0.00051	0.00012	0.00012	-0.00037	1.00000	
1028.76169	-614.10585	378.98388	0.01560	-0.00385	89.94614	0.32910	0.00094	1.00000	0.00027	-1.00000	0.00094	-0.00007	-0.00007	-0.00027	1.00000	
1030.22355	-613.57174	378.85075	0.01706	-0.00106	89.98464	0.33294	0.00027	1.00000	0.00030	-1.00000	0.00027	-0.00002	-0.00002	-0.00030	1.00000	
1030.74050	-613.26637	378.40626	0.02461	0.00931	90.00122	0.34173	-0.00002	1.00000	0.00043	-1.00000	-0.00002	0.00016	0.00016	-0.00043	1.00000	
1030.67576	-613.14721	377.79619	0.03480	0.02002	90.00238	0.30434	-0.00004	1.00000	0.00061	-1.00000	-0.00004	0.00035	0.00035	-0.00061	1.00000	
1030.40460	-613.52974	379.02997	0.01457	-0.00806	89.98754	0.29791	0.00022	1.00000	0.00025	-1.00000	0.00022	-0.00014	-0.00014	-0.00025	1.00000	
1029.89441	-613.75555	379.11393	0.00654	0.00730	89.97816	0.25442	0.00038	1.00000	0.00011	-1.00000	0.00038	0.00013	0.00013	-0.00011	1.00000	
1030.04384	-613.58883	378.58191	0.01718	0.01503	89.98328	0.24560	0.00029	1.00000	0.00030	-1.00000	0.00029	0.00026	0.00026	-0.00030	1.00000	
1030.29973	-613.57417	379.05168	0.00823	0.00808	89.98907	0.27940	0.00019	1.00000	0.00014	-1.00000	0.00019	0.00014	0.00014	-0.00014	1.00000	
1030.04490	-613.49251	378.63776	0.01581	0.01564	89.98472	0.25300	0.00027	1.00000	0.00028	-1.00000	0.00027	0.00027	0.00027	-0.00028	1.00000	
1030.54475	-613.27278	378.53921	0.01633	0.02373	90.00026	0.25742	-0.00000	1.00000	0.00029	-1.00000	-0.00000	0.00041	0.00041	-0.00029	1.00000	
1030.16944	-613.38585	378.54318	0.01599	0.02542	89.99229	0.29899	0.00013	1.00000	0.00028	-1.00000	0.00013	0.00044	0.00044	-0.00028	1.00000	
1030.53142	-613.13598	378.08943	0.02722	0.01923	90.00137	0.27787	-0.00002	1.00000	0.00048	-1.00000	-0.00002	0.00034	0.00034	-0.00048	1.00000	
1030.32729	-613.21665	378.17429	0.02296	0.02556	89.99736	0.26260	0.00005	1.00000	0.00040	-1.00000	0.00005	0.00045	0.00045	-0.00040	1.00000	
1030.06940	-613.36481	378.37240	0.01643	0.02274	89.99088	0.29685	0.00016	1.00000	0.00029	-1.00000	0.00016	0.00040	0.00040	-0.00029	1.00000	
1030.63037	-613.04405	377.76902	0.03190	0.02139	90.00426	0.28609	-0.00007	1.00000	0.00056	-1.00000	-0.00007	0.00037	0.00037	-0.00056	1.00000	
1031.06745	-612.88046	377.78113	0.02891	0.02954	90.01820	0.25793	-0.00032	1.00000	0.00050	-1.00000	-0.00032	0.00052	0.00052	-0.00050	1.00000	
1030.71934	-613.05059	377.93498	0.02504	0.02815	90.00776	0.27538	-0.00014	1.00000	0.00044	-1.00000	-0.00014	0.00049	0.00049	-0.00044	1.00000	
1030.68452	-613.06992	377.85222	0.02958	0.02063	90.00631	0.29312	-0.00011	1.00000	0.00052	-1.00000	-0.00011	0.00036	0.00036	-0.00052	1.00000	
1030.29377	-613.16112	377.79520	0.02928	0.02808	89.99909	0.27659	0.00002	1.00000	0.00051	-1.00000	0.00002	0.00049	0.00049	-0.00051	1.00000	
